status;http;url;source;markdown;src_chars;local_chars;live_chars;local_cov;live_cov;src_img;local_img;live_img;src_yt;live_yt;issues;missing_local;missing_live;mojibake;error
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/data-center/comprendre-les-data-centers-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Data center\Comprendre les data centers Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\data-center\comprendre-les-data-centers-questions.md;558;558;558;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/data-center/data-center-comprendre-l-essentiel-en-9-minutes-video/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Data center\Data center comprendre l essentiel en 9 minutes Video.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\data-center\data-center-comprendre-l-essentiel-en-9-minutes-video.md;0;27;27;1.0000;1.0000;0;0;0;1;1;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/data-center/data-center-map-site/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Data center\Data Center Map Site.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\data-center\data-center-map-site.md;1304;1304;1304;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/data-center/e-mail-cloud-data-center-ces-clics-qui-polluent-video/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Data center\E mail cloud data center ces clics qui polluent Video.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\data-center\e-mail-cloud-data-center-ces-clics-qui-polluent-video.md;0;27;27;1.0000;1.0000;0;0;0;1;1;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/data-center/email-cloud-data-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Data center\Email cloud data Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\data-center\email-cloud-data-questions.md;688;688;688;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/data-center/localiser-les-data-centers-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Data center\Localiser les data centers Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\data-center\localiser-les-data-centers-questions.md;278;278;278;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/analyse-d-une-base-de-donnees-relationnelle-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Analyse d une base de donnees relationnelle Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\analyse-d-une-base-de-donnees-relationnelle-questions.md;264;264;264;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/croisement-des-donnees-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Croisement des donnees Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\croisement-des-donnees-questions.md;622;622;622;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/impression-systematique-ticket-quelles-solutions-article/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Impression systematique ticket quelles solutions Article.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\impression-systematique-ticket-quelles-solutions-article.md;13490;13490;13490;1.0000;1.0000;2;2;2;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/la-fin-du-ticket-de-caisse-papier-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\La fin du ticket de caisse papier Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\la-fin-du-ticket-de-caisse-papier-questions.md;477;477;477;1.0000;1.0000;0;0;0;0;0;;;;;
