status;http;url;source;markdown;src_chars;local_chars;live_chars;local_cov;live_cov;src_img;local_img;live_img;src_yt;live_yt;issues;missing_local;missing_live;mojibake;error
FAIL;404;https://meunier78.github.io/Manuel-SNT/internet/internet-en-une-seule-frise/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Internet\Internet en une seule frise.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\internet\internet-en-une-seule-frise.md;0;0;0;1.0000;1.0000;0;0;0;0;0;Fichier Markdown local absent | Page publique inaccessible (HTTP 404);;;;
FAIL;404;https://meunier78.github.io/Manuel-SNT/internet/qu-est-ce-qu-internet/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Internet\Qu est ce qu Internet.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\internet\qu-est-ce-qu-internet.md;1656;0;0;1.0000;1.0000;0;0;0;0;0;Fichier Markdown local absent | Page publique inaccessible (HTTP 404);;;;
FAIL;404;https://meunier78.github.io/Manuel-SNT/photographie-numerique/capturees-stockees-transformees-visualisees-partagees/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\La photographie numerique\Capturees stockees transformees visualisees partagees.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\photographie-numerique\capturees-stockees-transformees-visualisees-partagees.md;1006;0;0;1.0000;1.0000;0;0;0;0;0;Fichier Markdown local absent | Page publique inaccessible (HTTP 404);;;;
FAIL;404;https://meunier78.github.io/Manuel-SNT/photographie-numerique/photographie-numerique-en-une-seule-frise/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\La photographie numerique\Photographie numerique en une seule frise.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\photographie-numerique\photographie-numerique-en-une-seule-frise.md;0;0;0;1.0000;1.0000;0;0;0;0;0;Fichier Markdown local absent | Page publique inaccessible (HTTP 404);;;;
FAIL;200;https://meunier78.github.io/Manuel-SNT/photographie-numerique/reperes/iphone-popularise-numerique-depuis-telephones-portables/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\La photographie numerique\Reperes\IPhone popularise numerique depuis telephones portables.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\photographie-numerique\reperes\iphone-popularise-numerique-depuis-telephones-portables.md;214;27;27;0.0238;0.0238;1;0;0;1;1;Texte local très incomplet (2.4%) | Images locales insuffisantes (0/1) | Texte public très incomplet (2.4%) | Images publiques insuffisantes (0/1);La définition des images prises par le premier iPhone était de 2 millions de pixels. Bien au delà de ce que permettait d'afficher l'écran du téléphone, à l'époque. En effet, cet écran ne disposait que de 320 × 480 pixels.;La définition des images prises par le premier iPhone était de 2 millions de pixels. Bien au delà de ce que permettait d'afficher l'écran du téléphone, à l'époque. En effet, cet écran ne disposait que de 320 × 480 pixels.;;
FAIL;404;https://meunier78.github.io/Manuel-SNT/reseaux-sociaux/les-reseaux-sociaux-en-une-seule-frise/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Les reseaux sociaux\Les reseaux sociaux en une seule frise.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\reseaux-sociaux\les-reseaux-sociaux-en-une-seule-frise.md;0;0;0;1.0000;1.0000;0;0;0;0;0;Fichier Markdown local absent | Page publique inaccessible (HTTP 404);;;;
FAIL;404;https://meunier78.github.io/Manuel-SNT/reseaux-sociaux/qu-est-ce-qu-un-reseau-social/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Les reseaux sociaux\Qu est ce qu un reseau social.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\reseaux-sociaux\qu-est-ce-qu-un-reseau-social.md;940;0;0;1.0000;1.0000;0;0;0;0;0;Fichier Markdown local absent | Page publique inaccessible (HTTP 404);;;;
FAIL;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-bases-des-langages-html/exemple-de-fichier-html-fichier-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les bases des langages HTML\Exemple de fichier HTML Fichier (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-bases-des-langages-html\exemple-de-fichier-html-fichier-2.md;140;110;110;0.7667;0.7667;1;1;1;0;0;Texte local très incomplet (76.7%) | Texte public très incomplet (76.7%) | 1 image(s) publique(s) inaccessible(s);;;;
FAIL;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-elements-html-selecteurs/exemple-pour-le-modele-de-boite-fichier-html-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les elements HTML selecteurs\Exemple pour le modele de boite Fichier HTML (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-elements-html-selecteurs\exemple-pour-le-modele-de-boite-fichier-html-2.md;89;68;68;0.6923;0.6923;0;0;0;0;0;Texte local très incomplet (69.2%) | Texte public très incomplet (69.2%);;;;
FAIL;200;https://meunier78.github.io/Manuel-SNT/web/cours/les-elements-html-selecteurs/exemple-pour-les-attributs-class-et-id-fichier-html-2/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Le Web\Cours\Les elements HTML selecteurs\Exemple pour les attributs class et id Fichier HTML (2).html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\web\cours\les-elements-html-selecteurs\exemple-pour-les-attributs-class-et-id-fichier-html-2.md;113;92;92;0.7059;0.7059;0;0;0;0;0;Texte local très incomplet (70.6%) | Texte public très incomplet (70.6%);;;;
